company_id,type,rule_id,text,confidence_pct
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
AXISBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BAJAJ-AUTO,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,65
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJ-AUTO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,75
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,95
BAJAJFINSV,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,66
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,68
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
BAJAJFINSV,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67
BAJAJFINSV,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67
BAJAJHLDNG,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,62
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJAJHLDNG,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,73
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72
BAJAJHLDNG,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77
BAJAJHLDNG,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,95
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,81
BAJFINANCE,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,68
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,91
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,99
BAJFINANCE,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,92
BANKBARODA,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,71
BANKBARODA,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,64
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,79
BANKBARODA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BEL,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100
BEL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,69
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.6 is elevated for a non-financial company and warrants monitoring,65
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BHARTIARTL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHARTIARTL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BHEL,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
BHEL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80
BHEL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
BHEL,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,100
BHEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BOSCHLTD,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BOSCHLTD,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,82
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,83
BOSCHLTD,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
BPCL,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BRITANNIA,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
BRITANNIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,65
BRITANNIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,98
CANBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
CANBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,93
CANBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
CANBK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,78
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,80
CANBK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
CHOLAFIN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,95
CHOLAFIN,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,66
CHOLAFIN,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,67
CHOLAFIN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73
CHOLAFIN,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CIPLA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,71
CIPLA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
CIPLA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
CIPLA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
CIPLA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,72
CIPLA,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
COALINDIA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,87
COALINDIA,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
COALINDIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
COALINDIA,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
COALINDIA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
COALINDIA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90
COALINDIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
COALINDIA,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,83
COALINDIA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
COALINDIA,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
DABUR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
DABUR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
DABUR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DABUR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,74
DIVISLAB,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,95
DIVISLAB,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,100
DIVISLAB,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66
DIVISLAB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DIVISLAB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,61
DIVISLAB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,61
DLF,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,72
DLF,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,100
DLF,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
DLF,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,76
DLF,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DLF,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,65
DLF,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
DLF,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
DMART,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
DMART,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,76
DMART,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,68
DMART,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DMART,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76
DMART,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,61
DRREDDY,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
DRREDDY,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
DRREDDY,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66
DRREDDY,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,93
DRREDDY,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
DRREDDY,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
DRREDDY,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,81
DRREDDY,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
EICHERMOT,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
EICHERMOT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
EICHERMOT,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,62
EICHERMOT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
EICHERMOT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,84
EICHERMOT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,82
EICHERMOT,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
GAIL,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
GAIL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
GAIL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
GAIL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
GODREJCP,con,CON_04,Company reported a net loss in the most recent financial year,95
GODREJCP,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,66
GODREJCP,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
GRASIM,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,66
GRASIM,con,CON_09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,100
GRASIM,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,62
GRASIM,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62
GRASIM,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,69
GRASIM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
GRASIM,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
GRASIM,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77
HAL,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
HAL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
HAL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
HAL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
HAL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HAL,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,67
HAL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
HAL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,92
HAVELLS,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
HAVELLS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,61
HAVELLS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HAVELLS,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,66
HCLTECH,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,68
HCLTECH,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,65
HCLTECH,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
HCLTECH,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HCLTECH,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,67
HDFCBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,81
HDFCBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66
HDFCBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
HDFCBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
HDFCBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
HDFCBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,83
HDFCBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,63
HDFCLIFE,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
HDFCLIFE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,63
HDFCLIFE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCLIFE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HDFCLIFE,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,69
HEROMOTOCO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,70
HEROMOTOCO,con,CON_12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,79
HEROMOTOCO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
HEROMOTOCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HEROMOTOCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HEROMOTOCO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,77
HEROMOTOCO,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
HINDALCO,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
HINDALCO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDALCO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HINDUNILVR,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
HINDUNILVR,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
HINDUNILVR,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDUNILVR,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
HINDUNILVR,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,83
HINDUNILVR,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65
ICICIBANK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100
ICICIBANK,con,CON_06,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,83
ICICIBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,67
ICICIBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
ICICIBANK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,64
ICICIBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ICICIBANK,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,74
ICICIBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
ICICIBANK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,71
ICICIBANK,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
ICICIGI,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,77
ICICIGI,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
ICICIGI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
ICICIGI,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
ICICIGI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIGI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ICICIGI,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,74
ICICIGI,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
ICICIPRULI,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,63
ICICIPRULI,pro,PRO_03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,95
ICICIPRULI,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIPRULI,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ICICIPRULI,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
INDIGO,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100
INDIGO,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
INDIGO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90
INDIGO,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67
INDIGO,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
INDIGO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
INDIGO,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,82
INDIGO,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100
INDUSINDBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,90
INDUSINDBK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,66
INDUSINDBK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
INDUSINDBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,87
